"AGE";"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"UNIT_MEASURE";"CONF_STATUS";"DECIMALS";"OBS_STATUS";"OBS_STATUS_FR";"UNIT_MULT";"TIME_PERIOD";"OBS_VALUE"
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";1996-10;12.9
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2012-07;12.9
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";1989;26
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2003-06;12.5
"_T";"FERIND";"A";"12";"DEP";"PT";"F";"0";"A";"D";"0";2019;174
"_T";"FERIND";"A";"91";"DEP";"PT";"F";"0";"A";"D";"0";2000;200
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2012-08;12.8
"_T";"FERIND";"A";"31";"DEP";"PT";"F";"0";"A";"D";"0";2011;179
"Y35T48";"FERIND";"A";"84";"DEP";"PT";"F";"0";"A";"D";"0";2009;42
"_T";"BRTHRT";"A";"974";"DEP";"PM";"F";"1";"A";"D";"0";2010;17.1
"_T";"FERIND";"A";"71";"DEP";"PT";"F";"0";"A";"D";"0";2004;192
"Y35T48";"FERIND";"A";"84";"DEP";"PT";"F";"0";"A";"D";"0";2010;39
"_T";"FERIND";"A";"41";"DEP";"PT";"F";"0";"A";"D";"0";2012;220
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";1984;14.9
"_T";"BRTHRT";"A";"76";"REG";"PM";"F";"1";"A";"D";"0";2007;11.3
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";1983;13.5
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2003-08;12.5
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";1988;12.8
"_T";"BRTHRT";"A";"08";"DEP";"PM";"F";"1";"A";"D";"0";1999;12.7
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";1985;14.9
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";1984;13.7
"_T";"FERIND";"A";"51";"DEP";"PT";"F";"0";"A";"D";"0";2004;178
"_T";"FERIND";"A";"02";"DEP";"PT";"F";"0";"A";"D";"0";2017;202
"Y35T48";"FERIND";"A";"52";"REG";"PT";"F";"0";"A";"D";"0";2016;37
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";1996-12;12.7
"_T";"FERIND";"A";"41";"DEP";"PT";"F";"0";"A";"D";"0";2013;214
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2003-09;12.8
"_T";"FERIND";"A";"61";"DEP";"PT";"F";"0";"A";"D";"0";2003;204
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";1991;28
"_T";"BRTHRT";"A";"08";"DEP";"PM";"F";"1";"A";"D";"0";2000;13.1
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1981;14.2
"_T";"BRTHRT";"A";"76";"REG";"PM";"F";"1";"A";"D";"0";2008;11.4
"_T";"FERIND";"A";"41";"DEP";"PT";"F";"0";"A";"D";"0";2014;211
"_T";"FERIND";"A";"71";"DEP";"PT";"F";"0";"A";"D";"0";2006;202
"_T";"BRTHRT";"A";"76";"REG";"PM";"F";"1";"A";"D";"0";2009;11.3
"_T";"FERIND";"A";"91";"DEP";"PT";"F";"0";"A";"D";"0";2004;210
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1982;13.7
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";1990;12.5
"_T";"FERIND";"A";"61";"DEP";"PT";"F";"0";"A";"D";"0";2005;195
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";1987;14.6
"_T";"FERIND";"A";"94";"REG";"PT";"F";"0";"A";"D";"0";1984;171
"_T";"FERIND";"A";"91";"DEP";"PT";"F";"0";"A";"D";"0";2005;211
"_T";"BRTHRT";"A";"18";"DEP";"PM";"F";"1";"A";"D";"0";1999;11.1
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1983;12.7
"_T";"BRTHRT";"A";"974";"DEP";"PM";"F";"1";"A";"D";"0";2015;16.4
"Y35T48";"FERIND";"A";"84";"DEP";"PT";"F";"0";"A";"D";"0";2016;44
"Y35T48";"FERIND";"A";"52";"REG";"PT";"F";"0";"A";"D";"0";2019;38
"_T";"FERIND";"A";"51";"DEP";"PT";"F";"0";"A";"D";"0";2007;185
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";1994;31
